國文,英文,數學,社會,自然
12,10,13,8,7
7,6,11,15,8
12,14,9,10,7
9,12,14,10,8
15,6,8,10,13
11,15,6,14,13
12,7,14,9,15
15,7,9,12,10
14,8,15,6,11
14,8,9,8,15
6,13,9,13,6
9,9,14,11,6
15,8,8,15,13
8,11,6,6,11
15,15,14,10,14
9,13,14,7,7
8,14,15,6,13
11,12,6,11,6
12,12,11,6,10
6,14,13,6,11
9,11,9,8,9
11,15,15,6,6
15,7,15,11,11
13,15,9,13,13
15,6,7,7,12
14,12,8,7,7
14,14,9,15,13
12,11,15,15,9
12,13,7,14,11
7,12,15,7,10
9,9,13,14,12
9,11,15,10,13
9,14,14,11,9
10,8,13,8,13
15,7,8,11,9
11,10,13,12,12
6,13,11,7,13
12,6,14,8,8
9,7,7,11,9
8,13,12,9,7
6,10,9,13,9
14,14,13,7,7
7,11,7,9,6
12,15,14,12,6
8,8,6,13,13
11,6,11,8,13
8,12,8,15,15
6,9,14,9,10
12,11,12,11,14
8,15,11,12,8
8,6,15,10,8
13,10,8,13,6
14,8,6,8,11
8,15,6,13,15
11,13,7,11,7
11,12,6,7,14
6,13,6,14,7
12,15,11,6,13
9,12,13,9,11
12,6,11,9,9
12,13,7,11,6
14,8,6,9,13
13,10,11,7,7
9,15,10,15,13
12,7,15,14,12
11,6,11,12,10
14,12,8,12,11
12,14,6,6,7
10,14,9,8,12
12,10,15,14,9
11,9,15,11,9
12,12,9,6,11
15,11,11,15,10
13,9,10,6,10
6,9,14,15,14
13,12,14,8,12
14,6,6,8,8
12,12,8,7,8
10,14,7,14,7
14,15,14,13,13
7,12,8,12,9
10,7,13,9,7
8,6,13,10,9
7,7,10,12,8
13,11,12,10,11
12,6,6,13,7
9,9,6,13,13
9,12,11,7,13
14,8,10,14,6
11,8,8,6,10
9,11,9,12,14
15,10,13,12,8
9,8,13,11,13
7,6,8,15,6
14,12,12,11,6
7,13,10,12,7
9,9,11,15,13
14,8,12,7,15
6,7,7,6,7
11,11,12,8,15
